mrishare_id,SPM_GM_hemiR_SNR,SPM_GM_hemiL_SNR,SPM_WM_hemiR_SNR,SPM_WM_hemiL_SNR,SPM_CSF_hemiR_SNR,SPM_CSF_hemiL_SNR,SPM_hemiR_WMGM_CNR,SPM_hemiR_GMCSF_CNR,SPM_hemiL_WMGM_CNR,SPM_hemiL_GMCSF_CNR
SHARE0458,7.639643848658806,7.635632677736956,22.416850727122668,21.9742053647993,3.2357304829720404,3.1811220286623416,1.3670687038813898,1.6973624842450286,1.3700767136814134,1.7024085878473267
SHARE0467,8.106266215635356,7.988093973644958,21.21975703247448,20.806834391064374,4.278362393108371,4.178174504577654,1.3653297046995585,1.3665501605318149,1.3766553620977562,1.3933609012073296
SHARE0474,9.980331861775003,9.846528486962924,19.488950802083515,19.138932506449684,4.227691300030978,4.214344015863878,1.3175412776258797,1.4578865173848885,1.3213717860560148,1.4613957573344267
SHARE0490,8.616427312106103,8.54742610901152,24.194209825734983,23.37859498803684,4.348882658949743,4.298590214196072,1.3342418450924696,1.4395757398122528,1.3385277004136107,1.4364456732988182
SHARE0501,8.046294288830028,7.915788628133037,22.754400557300123,21.943077484792184,4.189462646953088,3.969463810010837,1.3605711369308984,1.4674456424452895,1.366576597790422,1.4824135360967137
SHARE0547,8.280413634070765,8.249677230366519,21.9657672680834,21.613067775719045,4.255309997494882,4.339449768945101,1.3584146742635148,1.4450497065833143,1.3610105791555227,1.4340247361130751
SHARE0585,8.695741215354113,8.55588454069861,23.296369344961,22.74944960477575,4.511452159723577,4.308921971974058,1.3282534780545692,1.4654895477963652,1.3377514576773264,1.476520729592648
SHARE0630,7.943915739419414,7.929911072331952,25.006383679687012,24.14982475248475,3.9309295042478505,3.84257785730332,1.3478442143987692,1.5567582229557395,1.3546102451621362,1.564948788560335
SHARE0664,8.002417170553032,7.926320176992436,24.08245952929253,23.38427157377141,3.9372247973189705,3.9831740441120513,1.3469944976673909,1.494851502665912,1.355349344858534,1.4918731787392243
SHARE0669,8.750313325700699,8.56217064553163,19.61563329127064,19.06472238133042,4.121454645836891,4.0908846513922885,1.3661696918864936,1.5151992391170812,1.3750284029144868,1.5055627136414549
SHARE0692,9.062784813438656,9.085246786416509,23.022198972386953,23.176427650739225,4.594145879924954,4.5029816279781505,1.3300862017040171,1.4459408941519605,1.3352516014385136,1.4516043275260901
SHARE0693,8.567255702792718,8.482418286881476,21.195965064764874,20.712866472231287,3.907165496935297,4.057682613961386,1.355274759382287,1.5243734233994133,1.3584618182135408,1.5048459495924411
SHARE0699,8.413010527003706,8.26817668332981,23.20400861292893,22.32982829901525,4.7270769711329175,4.822375519180705,1.3377507709190253,1.4686273934820884,1.335584710950314,1.4568315313234308
SHARE0723,8.770110266001003,8.73731700509423,22.75529664144223,22.118223872612273,4.4141561339660615,4.301586783724941,1.3459015863607706,1.4661455522315945,1.3499507922032723,1.4861289928755572
SHARE0749,9.498987851909432,9.370336835720963,20.317722972722738,19.96409903239317,4.8369378245811765,4.543966535952549,1.3256208045896978,1.3956777777308649,1.328610023272779,1.4170689811245027
SHARE0772,7.939265057521004,7.951251977043674,23.205262549077755,22.698094229136967,4.395888250495636,4.1751711512612655,1.3654323275816658,1.4460264286554865,1.3682628261509098,1.4684229329007763
SHARE0797,8.115959845063815,7.989166507582843,24.011475832818157,23.274074187314874,4.760852565406983,4.604838891631161,1.3638774040650623,1.4152546050613628,1.371928280320692,1.4223808718910356
SHARE0811,7.864206679627359,7.815486233341337,23.53347084697725,22.7368608684794,4.093660173812086,4.023572860073624,1.3651355951531603,1.4955856918475143,1.372274284518071,1.502842104749046
SHARE0844,8.13446410094316,8.131343242107313,22.88826533374995,22.130101907284022,4.0834152746477335,3.982373416931843,1.3539197430583807,1.4943117788787232,1.3575095448151795,1.5070435144688719
SHARE0847,8.188152816424434,8.125749038930234,20.377640834535093,20.089601255689683,3.8854426207469266,4.103183784237549,1.3671035993571723,1.5587255840621246,1.3749371491311024,1.5285888775980918
SHARE0979,8.242414870150894,8.289774101388232,21.343304285780373,20.86308996511568,4.555595713073953,4.502746545845096,1.3650642768111036,1.4511243052542155,1.365386145431532,1.4649437293155172
SHARE0980,8.22252592059465,8.077831586306774,21.764234908613844,21.491015577711387,4.1375242392287515,4.070770176942951,1.3616875126084322,1.4669000528226064,1.3651107384897199,1.459687262272914
SHARE1043,7.738330976394796,7.6505443304898515,23.833193548307552,23.216297625798568,4.33822959273892,4.240129171703955,1.3601281774094327,1.487405259457023,1.3656949316341254,1.48791628288095
SHARE1051,8.437916187216537,8.35998410608715,22.201440236572257,21.40304645909941,4.210380754414215,4.071457939088433,1.3425748777369644,1.4607546000649765,1.3420641161181197,1.4748666613955554
SHARE1061,8.807237903133416,8.774175673805367,24.310987547162217,23.669880596826548,4.2449496393591915,4.2754247315228735,1.3224910476016696,1.4812165854837702,1.3251476292021749,1.4827227671680805
SHARE1091,8.223916574104733,8.084046474597724,23.965746932028537,23.045508888819022,4.37308063256489,4.199268446859075,1.350531847393718,1.5254272048537667,1.3602880595354274,1.5460626943888198
SHARE1157,8.784858815909441,8.630074619890332,22.65868548227482,22.235245524514298,4.300020772987562,4.199823905611399,1.3317430725904966,1.5033246247561534,1.3395666915020212,1.5141428143023907
SHARE1159,8.690829457943254,8.579117509550768,20.469658020311865,20.110242640053002,3.8868221215538137,3.9270244394510487,1.3528519235098484,1.531163939384594,1.3606846346626134,1.530557310555211
SHARE1244,7.819053934499898,7.777752197687846,22.627944930020213,22.10889468591852,3.6182342872102287,3.6790386822340575,1.3683666707357478,1.5481697678200677,1.3779368148359514,1.5365370468930175
SHARE1256,8.739248453061553,8.742564877042732,18.763574641204237,18.36085293919726,3.617533052090426,3.5351454737305223,1.3659180646748421,1.5590103489315743,1.3719311504080214,1.5835017770231303
SHARE1277,7.9797514092975215,7.996908452667839,24.607462531182907,24.17475817735048,4.2882381090745065,4.259102733317539,1.3414718114666204,1.4705081713143828,1.3442885286935122,1.4633982614188723
SHARE1285,8.83072133322368,8.823841261247779,21.490452312861485,20.92453057279433,3.441169682388682,3.5036690228024536,1.3538877308643176,1.5511655117759642,1.3578405356593544,1.5410332594831484
SHARE1397,8.105006852084431,8.033257690668435,23.37212178610702,22.48248648157405,4.016383540484587,4.003703259449433,1.3638749176107847,1.4916761488022632,1.3711287398482803,1.4921828847441638
SHARE1421,8.082012041280159,7.912838312631589,22.38886107080399,21.620892354154826,4.159571470402261,4.256899734443656,1.3471617780112737,1.5174296112149082,1.3563002611033106,1.5017661360985308
SHARE1513,8.699010537628832,8.574485358709072,20.366560959215228,19.774489911638184,3.821990127442125,3.839204456249116,1.3510749431212743,1.5240580509987869,1.357693232544673,1.515131564717079
SHARE1548,8.284618025831966,8.3006193542551,19.2952941686778,18.5089116368802,4.0742729345884845,3.9145804770452783,1.3701600267187872,1.4927997208276444,1.3756755841123989,1.5047559513003281
SHARE1594,8.642036997955344,8.57050321999982,21.127900557863224,20.409463828442615,3.411329737888358,3.317402908258,1.351988972700053,1.643491361396843,1.3580556092944442,1.6581345036375588
SHARE1638,7.9194809648496785,7.839560490237154,23.97566070044097,23.399850237633142,3.9807820088089296,3.68304446740924,1.352778180878626,1.5228009829375495,1.3595922864010892,1.5558436474401165
SHARE1640,8.058193761038066,7.908769552778676,23.788633745488053,23.16690685802268,4.448603121461258,4.2563224544182034,1.3444710009381944,1.494876453682885,1.3497674360892782,1.5093272304761949
SHARE1647,8.109557482797188,8.006745120009553,24.43790711560484,23.699696735618982,4.503652772880585,4.283938367915597,1.3566342308022217,1.4308812442759182,1.3629000252052488,1.4504456383032451
SHARE1675,7.891745804349787,7.8229665874777,25.290015575787987,24.75128155209813,4.572273230062831,4.597015160342083,1.3489600937356052,1.4513717910556236,1.3556070866352519,1.4421147938576135
SHARE1781,8.490806505020018,8.439336836047008,21.684177835387896,21.364055574312545,3.8222780880979217,3.7237115188538747,1.3518287725946831,1.5479412871685474,1.3583256434002886,1.5629562711479124
SHARE1835,8.336659727006515,8.27513136876942,22.181595768900713,21.472351812989015,3.9967507645259945,3.733577917140293,1.3479796130784507,1.4978113592527056,1.3537500301443364,1.5321308703367689
SHARE1910,7.901815913841496,7.8748494454526785,23.71955539966961,23.237646238145317,4.130629742732953,4.19720903930785,1.3492819126644873,1.505709115512631,1.3539946086956156,1.4950989375051131
SHARE1958,8.372591316753558,8.340642002132395,23.13382866451819,22.8654905213099,3.977596695557557,3.957113567816312,1.3482078325553584,1.4413024540080728,1.3555991131781029,1.4462301041343408
SHARE1969,8.117365661072842,8.024070434986925,23.217283020698854,22.852044294326703,4.129976850670351,4.0111903805923,1.352480540988616,1.4646185593096972,1.3589106212009905,1.47034547087177
SHARE1970,8.2044147838286,8.05853857743266,22.116011344538702,21.57611628377804,3.70584130604411,3.6321713618668494,1.3568412941840478,1.5208881229002664,1.3603958012902977,1.5267765331672918
SHARE1979,8.400038367801846,8.371984062337056,22.37852632873903,21.66546943463068,4.3154665561610415,3.93726562477558,1.3512591301706922,1.448331989658972,1.353878457231668,1.48752164044709
SHARE1985,7.473875070207652,7.4406368859718786,25.638560368470785,25.019576814200924,4.093874786774913,4.126458671701777,1.3692543167929536,1.4893364827709463,1.3788528747867097,1.47938817823138
SHARE1990,8.489755007410016,8.547146808595878,23.67963644050929,23.2150249510741,4.2354259156389436,4.365471748305043,1.338417793213306,1.4804958819131415,1.3393016233371775,1.4735216755373242
SHARE1991,8.286784280432983,8.202517563376325,22.40973513876416,21.858459290378555,3.9449419468290197,3.8447660124508793,1.3543103892054793,1.4901391820244505,1.3600348362797452,1.5039323663595072
SHARE1992,7.581293282843071,7.652195423623994,22.886032829724908,22.69705544181685,4.141003256252486,4.204179643127318,1.3686739018344474,1.4146354465882776,1.3730485278823303,1.4160385689786388
